authorId,firstName,lastName
2164191314,Abhinav,Bansal
2154359293,Raghvendra,Kumar
2124092488,Dian,Suluh Kusuma Dewi
150934538,Beth,Njeri Gitau
2221828688,Wael,Alhyasat
2073695,E.,Alhyasat
119182772,S.,Khattab
2037943580,Sofie,Yunida Putri
2128722551,L.,N
36064713,U.,Surendra
51304340,M.,M.
2159822083,I.,Hartono
1396138788,Chotib,Chotib
2948173,S.,Mulyono
2132977350,Desy,Widya Astuti
2280780361,Ni,Kadek Sri Widhyanti
2092265356,Kadek,Ayu Ekasani
2044554419,I.,G. A. K. Dewi
3136788,S.,Bösner
3343481,J.,Haasenritter
5395602,M.,A. Hani
2052412143,H.,Keller
145793668,A.,Sönnichsen
4364948,K.,Karatolios
40651154,J.,Schaefer
144818206,E.,Baum
1387475575,N.,Donner‐Banzhoff
144874710,C.,Miaskowski
46322838,R.,Nichols
39150222,R.,Brody
2323314582,T.,Synold
2024121,Nguyen,Nhat Anh
144433649,Nguyen,Anh
50226275,N.,X. Tung
145658739,Nguyen,Thi Ngoc Anh
114620083,L.,Burhan
2366373627,Renze,Zhang
2397891200,Y.,Kuang
2204794957,Jing,Rao
2391173548,Xinglan,Liu
2255454523,Qianqian,Fang
2290023659,Yuanyuan,Tang
2286301280,Juan,Li
33354634,S.,N. Akhtar
5753048,A.,Singnurkar
2071175904,R.,Poon
5900695,U.,Metser
2054336060,U.,Müller
8893316,K.,Sachse
8381490,K.,Kemmerling
113078489,C.,Rietz
50103923,H.,Sauerwein
2223338653,Alexandre,Faye-Bédrin
12773655,P.,Chauchat
2347375737,S.,Aranovskiy
2232211261,Romain,Bourdais
2202527559,Kai,Schmid
1643854911,Jannik,Sehring
2219388739,Attila,Németh
2237871174,Patrick,N Harter
2266309200,Katharina,J Weber
1395890918,Abishaa,Vengadeswaran
2268466664,Holger,Storf
72543079,C.,Seidemann
10772830,K.,Karki
2072761066,Patrick,Fischer
2604069,H.,Dohmen
3747642,Carmen,Selignow
2268463410,A.,von Deimling
2264323737,Stefan,Grau
2373088090,Uwe,Schröder
2243691471,Karl,H. Plate
2263470461,Marco,Stein
2264222284,Eberhard,Uhl
2264336582,T.,Acker
10340008,Daniel,Amsel
2325627405,S.,Sonawane
2399467189,M.,D. Baviskar
47591325,Y.,Chiu
47817639,Da-Ji,Huang
33762636,B.,Shieh
120624602,Ye-Chen,Gan
2001070412,Yi-Chih,Chen
95980588,C.,Jen
2210160259,Lin-Lee,Lee
5191892,Shih-hsiung,Liang
2390721064,Sherene,Victoria
2390725946,D.,Surya
2390725834,R.,Jeethasri
40449892,A.,R. Livingstone
8525897,Zhangbing,Zhou
144087499,M.,Sellami
1762930,Walid,Gaaloul
3293164,M.,Barhamgi
3009931,Bruno,Defude
38622811,R.,Chinnadurai
83010452,Mary,Miller
3926627,A.,Lowney
5050723,S.,Sinha
123941633,Donald,Osebhawe Areguamen
2160412628,Kim,Critchlow
2160414356,Mary,Dereshwisky
119076511,Beverly,Muhammad
34031417,Polat,Goktas
16191852,D.,Gülseren
2239658511,A.,Tobin
2982380,Wanhong,Yang
2398367609,N.,Adrienne
2398364429,Ildjima,Ousman K
2399455919,Souam,Guélé S.
2398357938,A.,Danama K
2399445635,Hassan,Adam A
1860135,A.,Tidjani
2129085296,Ketsia,Aprilianny Laya
84289870,Y.,Syaukat
145833664,M.,Sarma
153690632,L.,German
6268205,I.,Feldblum
2251394480,Natalya,Bilenko
152749648,H.,Castel
1397996075,I.,Harman-boehm
2165577390,D.,Shahar
6047849,E.,Hayati
4645115,M.,Emmelin
38253714,M.,Eriksson
2042108504,O.,Ohwo
2405321989,Pedro,Eromosele Ezana
2082903248,Enny,Istanti
1840465460,Alana,Dinsdale
14000134,R.,Forbes
4668080,L.,Thomas
49120375,J.,Treleaven
2108074853,Yanning,Zhang
2108589481,Shuai,Liu
2221928463,Rita,Seimogha Matthew–Odou
2280467382,Igbogi,Inatimi
2299491868,Jiangwei,Li
3111102,Xiyan,Ma
1732574,Yanfeng,Zhu
145273634,Z.,Niu
7797010,Jun-ji,Wei
3946940,Y.,Gong
2108875472,Ren-zhi,Wang
3802844,Wen-bin,Ma
2143685090,Yi,Yang
9652532,Zhi-qin,Xu
143605359,B.,Xing
2110416165,Yongning,Li
46439394,Gui-lin,Li
1746280,Yong,Yao
2108699579,Yuguang,Huang
2332725307,Ziyi,Xu
2262541099,Ziyao,Huang
2275188174,Juan,Cao
2348262202,Yong,Zhang
30176430,Xiaodong,Cun
2332353068,Qing,Shuai
2354275199,Yucheng,Wang
2298970795,Linchao,Bao
2293763900,Jintao,Li
2211428886,Fan,Tang
47853172,C.,Ceccarini
1820387,S.,Mirri
1925089,P.,Salomoni
50227290,Catia,Prandi
2317680923,Mahdi,Aliyari
108152352,Felix,Chari
2036769356,Cawe,S. Novukela
47903014,Junjie,Qiu
38188331,Hua,Zhang
2116617573,Siyuan,Yu
2104605,L.,Shao
96811749,P.,He
2304488921,Aaron,Alimayu
2294112494,N.,Keskin
2331025599,Chenghuai,Li
2243441242,Jing-Sheng,Song
3915498,I.,Tarasova
66806444,O.,Trubnikova
2372847084,Darya,S. Kupriyanova
13134470,I.,Kukhareva
6384949,I.,Syrova
2088246096,A.,Sosnina
84490254,O.,Maleva
2053140530,O.,Barbarash
1735321,S.,Bressan
1390489982,Mong,Li Lee
3215922,A.,Chaudhri
144666776,J.,Yu
1776051,Z.,Lacroix
2110111973,E.,S. Kim
2140012162,Abdullah,Al Lawati
2222147081,Nasser,Al Wahaibi
134882777,Y.,A. Al Suleimani
1718337,B.,Otal
143829739,L.,Alonso
145804197,C.,Verikoukis
2370683063,Yuanyuan,Cao
2296578767,Songsheng,Chen
2117223696,Jun,Guo
2142123396,Wenying,Li
119320568,J.,D. Eshleman
38693156,F.,Cintora
144053121,D.,Funes
14292035,N.,Gastaldello
13522998,Javier,Fabián Ventrici
150953173,C.,M. Marigo
2157803875,Javier,Sánchez
14694653,A.,Carlessi
10003513,R.,Bagnati
34035938,S.,Baratta
66613297,S.,Makhoul
46590044,Furong,Tang
1519289092,Jiwei,Wang
2112473081,Zheng,Tang
2110779002,Mei,Kang
49573440,Q.,Deng
39040804,Jinming,Yu
7291651,A.,Jajo
2348394341,Abdur,Rahim
49292722,S.,Serra
90770310,F.,Gagliardi
2349783772,N.,K. Jajo
48834172,S.,Musacchi
92372586,G.,Costa
4789776,C.,Bonghi
5748031,L.,Trainotti
47371590,A.,Dede
82250841,G.,Trovas
5937914,E.,Chronopoulos
4138879,I.,Triantafyllopoulos
153332001,I.,Dontas
6368531,N.,Papaioannou
50227594,S.,Tournis
2414851776,Dandi,Nurrachim
2375934411,Murti,Widyaningsih
5311551,S.,Kojola
4200491,A.,Ahtikoski
6549430,H.,Hökkä
4452339,T.,Penttilä
2189464566,Ahmad,Almaksour
2189463352,Hadi,Gerges
35373752,S.,Gorecki
1678479,G.,Zacharewicz
51235696,J.,Possik
152876952,Barbara,E. Cohen
1729554276,Elham,Abdulwahab Anaam
2150982076,Muhamad,Naser Yousef Magableh
2065782405,Mohammed,Hamdi
66730872,Aladeen,Y. R. Hmoud
70886145,Hamood,Alshalabi
2124323735,Luis,Cuautle Gutiérrez
2282691741,Trie,Indah Dewi
119636131,Triana,Rosalina Noor
2100832396,Basheerahamed,J. Sikandar
2278254710,K.,Kavitha
148377063,Xinyi,Qiao
2057540103,An,Yang
6284392,A.,Boggild
6243859,J.,Geduld
3629427,M.,Libman
5637190,C.,Yansouni
143678452,A.,Mccarthy
6384491,J.,Hajek
6432354,W.,Ghesquière
7610151,Y.,Mirzanejad
6594338,J.,Vincelette
3702922,S.,Kuhn
3273050,P.,Plourde
6773659,S.,Chakrabarti
46694744,C.,Greenaway
2843727,D.,Hamer
6951945,K.,Kain
120356376,Huwei,Wen
1664720734,Jiaying,Shi
2313023857,Peng,Lu
98769298,A.,Tiso
2266928944,Caterina,Pozzan
2212980183,Manuel,Francisco Morales Contreras
2330856561,Chiara,Verbano
6886795,E.,Attia
1398370583,E.,Maleche-Obimbo
2247499965,T.,E. West
1401027828,Lilian,Ndukwe-Wambutsi
2352049710,Catherine,Kiptinness
1380150698,A.,Cagle
2240388109,Christine,J. McGrath
2247499266,Celestine,K. Mugambi
2247499495,Neveen,G. El Antouny
1394519083,S.,Eskander
2207033320,Michael,H. Chung
2726741,K.,Crothers
2108185380,Yuan,Wu
144016846,P.,Hande
2486748,Hongseok,Kim
116491218,M.,Chiang
1719756,D.,Tsang
2271179103,Donal,J. Buggy
2268130334,M.,Columb
2352775293,J.,Hermanides
2238489384,M.,Hollmann
2389860392,Mark,Coburn
2267460015,Alex,Zarbock
98223791,Sufyan,
101726536,Tarmizi,
118612011,Maimun,
145765934,Kunlin,Yang
2274675202,Huipin,Lin
2298025525,Mingyu,Gao
2297943815,Zhi,Li
2278676997,Kejie,Gao
39417779,B.,Tawfik
49371602,Ellen,Burgess
51187273,M.,Kosich
1752817201,S.,Jaffe
7942286,D.,Guest
1400774609,U.,Brown-Glaberman
5043428,V.,Pankratz
3777998,A.,Sussman
1808164,Zhaoguo,Xuan
9135911,Changle,Niu
2115690311,Jiangning,Wu
2304285743,Marina,Nikolić
29159426,M.,S. Nair
145886139,V.,Naidu
2047870336,Yehor,Safonov
2395942369,Ondrej,Foltyn
2243778024,Samer,A Alzahrani
2191176329,Mohammed,F Bin Muammar
2191179041,Abdullah,F Bin Muammar
2003357279,A.,Alolah
114075272,MohammedAbdullahSaad,Almutawa
2351134563,Jiaxi,Xie
40809628,Jinwei,Bu
2351019289,Huan,Li
2301413845,Qiulan,Wang
2162446116,Ali,Forghani Elah Abadi
2262901,S.,A. Asghari
2068016,Mohammadreza,Binesh Marvasti
2820701,Golnoush,Abaei
1490934493,Morteza,Nabavi
1756949,Y.,Savaria
2069521307,Zhifeng,Tian
2093252330,Chen,Jia
2111777703,Zhou,Jing
2109069916,Zeng,Xu
12212057,L.,Chong
47512825,K.,Head
2241918707,C.,Hopkins
2241918673,C.,Philpott
2250358132,Martin,J. Burton
1401658911,Sameh,Abd-Elhaleem
117460428,Walaa,Shoeib
66444638,Abdel,Azim Sobaih
2144690850,Liang,Wang
2248248828,Serena,M Shah
2088412843,Simran,Mangwani-Mordani
5851699,N.,Gregori
113120475,W.,Rogers
10071161,L.,J. Bowlby
27690180,N.,Chandra
3907090,W.,French
145417640,J.,Gore
10149305,C.,Lambrew
10404268,R.,Rubison
10065240,A.,Tiefenbrunn
145888014,W.,Weaver
2386958575,Anh,Nguyen
2346303673,Anh,Tran
2503333,A.,Arbona
2270543752,S.,Benkner
145042964,G.,Engelbrecht
2286086984,Jochen,Fingberg
2060288683,M.,Hofmann
2287252380,Kai,Kumpf
2270600725,G.,Lonsdale
2075668131,Alexander,Woehrer
123016735,Luciana,Bergamo Marques
97606593,C.,Karpinski
102379041,M.,Mahdavifar
2270344363,Hadi,Salimi
2419717041,Zahra,Roustaeizadeh Shouroki
2140929901,Parisa,Peigan
2316962758,Farnoosh,Ghomi
1986598290,S.,Moradian
83784635,L.,Coleman
96783233,B.,Kaźmierczak
2180343,A.,I. Olbert
4918058,M.,Sá
133782408,C.,Nunes
39957149,A.,D. da Silva
2071052688,Patrícia,Mota
2103493385,J.,Pinto-Marques
2769597,A.,Puri
2106532640,Lohit,Chauhan
2316802471,Zhanpo,Yang
2316711142,Xinmeng,Dou
2296746929,Wenhui,Zhou
2339055283,Qian,Liu
97818546,S.,Chaturvedi
2143364355,Meenakshi,Verma
32427104,S.,Purohit
2387596634,R.,Varaprasad
49348924,M.,Rajani
2222111312,B.,Medici
4674613,S.,Benatti
2239139369,Massimo,Dominici
37461739,F.,Gelsomino
2052181265,G.,Jawwad
39832888,Maleha,Asim
2317260713,Amanat,Ali
2318697814,Humaira,Fayyaz Khan
1435856141,Aiman,Anjum
29996307,Abdul,Qudoos Arain
2372172691,T.,K. Nallamothu
2352314174,Cindy,Augustie
121225486,N.,Saad
5311407,M.,Gompelman
78057606,Erna,Causevic
1398151145,C.,Bleeker‐Rovers
3856956,G.,Wanten
145903026,M.,Husin
71746400,N.,Evans
2513580,Gaye,Deegan
2134267501,Wirawan,Galeh Pradhana
97783092,A.,Chandra
2136089033,J.,Tian
49021298,Y.,Wen
2019137465,Z.,Yang
2219015945,Y.,D. Zheng
1729446486,Z.,Wu
2008227563,J.,Li
2157691396,N.,Li
145456573,J.,He
3007804,Sinem,Güven
143861460,Mathias,Steiner
32289854,T.,Idé
1749043,A.,Paradkar
2077032,S.,Makogon
2062518760,Alejandro,Venegas
145749551,E.,Drees
8619706,Nils,J. Groenewegen
2275669897,Sandra,Verkuijlen
4629393,Monique,A J van Eijndhoven
2257020014,Jip,Ramaker
2308988243,Pepijn,Veenstra
2264064143,M.,Hussain
1410434167,C.,Groothuis-Oudshoorn
2254876631,Daphne,de Jong
3736734,J.,Zijlstra
2308990356,Johan,de Rooij
2252867352,D.,M. Pegtel
2156061999,Li,Li
2299891730,Yanan,Wei
2116798966,Yanjie,Liang
2408635040,Jingjun,Ren
2121880,G.,Araniti
1689090,J.,Cosmas
1720772,A.,Iera
39420046,A.,Molinaro
2041290,Antonino,Orsino
2021274,Pasquale,Scopelliti
