from,to,type
0001177a9c949a291fa587a5f642779cdfcb8751,2dfc6e98cc3ffb58ecc353496af90d6513a7cb79,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,7cafde81e0981953c273ed375a543feeaf10b550,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,a83704b31f2f0d562885ceda3447743ff5379385,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,1892eb89a981e0e66444ba4449d0b68b567e6417,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,1040a3c3b06bcf18c0ee1c5c404c38bf70ff8867,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,4ee1cc622e88e0a3df11b73e9e5a11fc0b94fd8d,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,07d4b48ec37e77e47c8b07c113d1a8b53ea03c48,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,82fc49c4bce87e4fe13603a88e68e6ef91a12e7c,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,b851e05834bbb3781fa094a65c289da86d877ad7,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,258d4105b59973e8383a6c8acb05ce360cb977a9,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,8b7afd835a10308f28e3e13e7aa079ee2124b3b2,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,e6b02ece12b34294c34415637790e1f1f0a114f3,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,6383222eeea1523d84a0e24447f33aa7f8c97ae0,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,10adc10387c508f79405c163353c17401eb24b1a,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,121c4e3f45949e0f8c263e3f9305fee7a32b57ef,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,7bb736ef8cec0122b2506ddf6db9f0d46bf124a6,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,a4847ba05bac93bfcf69f890530c2d6ba2e350b7,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,6d05fb63238eda0668f0a84f34b3409f47a3ee14,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,8784d2907a24b3ea38d8a84115122219b144d407,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,6989e7e84150361d457786f3cc2e649dc660546c,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,8db10dcbc9e2e1c82d8f36a05a2b676fc3f6e016,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,eb06741caf62670c28aa8722b857f6f6a4f5a721,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,a72f3b2b95b22beb0465bdd27d3765d6a6062752,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,76813b14ee3335141f64fe3dadefd8f4e0192b14,CITES
0001177a9c949a291fa587a5f642779cdfcb8751,d4aead302c9d7c0722e4c97e0d314e411e42c36a,CITES
000141aeb58a8cfb10474f3438599d668196a69e,5c0ebdeecfc34535ead0b764f7760d12a48aead8,CITES
000141aeb58a8cfb10474f3438599d668196a69e,2d8b97a49d3b50c71ab067e741962a8272083da2,CITES
000141aeb58a8cfb10474f3438599d668196a69e,c8b49bf176068fd9a031b2edc9c86c0a44e3bedb,CITES
000141aeb58a8cfb10474f3438599d668196a69e,9d8253e9d7fa583713afbc05a3adb0b1b9088e42,CITES
000141aeb58a8cfb10474f3438599d668196a69e,4f62fe9eeb7d4c33b9adcea1a68e0bd930b5f4a6,CITES
000141aeb58a8cfb10474f3438599d668196a69e,e5a34fe2cb3b2c84fb2492f0a91ccd5ea121bf83,CITES
000141aeb58a8cfb10474f3438599d668196a69e,abcf1bd6fe6f49b886d6c7d051dda2e739858f9b,CITES
000141aeb58a8cfb10474f3438599d668196a69e,68ec6ca40e14e8989bcdd1ddee78c564f8cbf602,CITES
